country,carbon_intensity_average,carbon_intensity_marginal
Togo,596.7666359044201,859.2530911930563
Tonga,532.698415970728,752.5333333333333
Trinidad and Tobago,369.74755991694974,559.2868869359368
Tunisia,347.80278400693936,467.7321300513424
Turkey,308.80892108595197,376.2085036506019
Turkmenistan,675.6267242516152,927.2916666666667
Turks and Caicos Islands (U.K.),450.59347279180747,752.5333333333333
Tuvalu,496.5177914253449,752.5333333333333
Uganda,115.85259002861456,279.0015789473684
Ukraine,434.6795190648353,768.2610433514553
United Arab Emirates,310.4005431343253,556.4820192401615
United Kingdom,218.56929902663236,380.3712240328204
United States,245.91061682998978,416.4283665521271
Uruguay,64.8285438462597,173.9583772719126
Uzbekistan,467.3727908595872,612.2833271232295
Vanatu,504.18072672613846,752.5333333333333
"Venezuela, Bolivarian Republic of",367.75218932752193,710.9203912920029
Viet Nam,380.8079984650012,560.4410611676584
Virgin Islands (U.S.),373.0149257810399,650.3057239057239
Yemen,614.5621328909245,807.2931937584166
Zambia,196.99130651213528,416.4086030434059
Zimbabwe,880.2535963554808,1575.3007845098518
EU 27,214.1009807514835,408.6443147133168
World,381.38476735523534,585.8659424529542
